id_dep,name,party,UF,twitter_account
1,Deputado Abílio Santana,PL,BA,AbilioSantana_
2,Deputado Abou Anni,PSL,SP,abou_anni
3,Deputado Acácio Favacho,PROS,AP,AcacioFavacho
4,Deputado Adolfo Viana,PSDB,BA,AdolfoViana_
5,Deputada Adriana Ventura,NOVO,SP,adriventurasp
6,Deputado Adriano Do Baldy,PP,GO,adrianodobaldy
7,Deputado Aécio Neves,PSDB,MG,AecioNeves
8,Deputado Aelton Freitas,PL,MG,aeltonfreitasmg
9,Deputado Afonso Florence,PT,BA,AfonsoFlorence
10,Deputado Afonso Hamm,PP,RS,DepAfonsoHamm
11,Deputado Afonso Motta,PDT,RS,afonso_motta
12,Deputado Aguinaldo Ribeiro,PP,PB,depaguinaldo11
13,Deputado Airton Faleiro,PT,PA,FaleiroAirton
14,Deputado Aj Albuquerque,PP,CE,no-twitter
15,Deputado Alan Rick,DEM,AC,Alan_Rick
16,Deputado Alceu Moreira,MDB,RS,Alceu_Moreira
17,Deputado Alcides Rodrigues,PATRIOTA,GO,no-twitter
18,Deputado Alencar Santana Braga,PT,SP,AlencarBraga13
19,Deputada Alê Silva,PSL,MG,alesilva_38
20,Deputado Alessandro Molon,PSB,RJ,alessandromolon
21,Deputado Alexandre Frota,PSDB,SP,77_frota
22,Deputado Alexandre Leite,DEM,SP,lexandreleite
23,Deputado Alexandre Padilha,PT,SP,padilhando
24,Deputado Alexis Fonteyne,NOVO,SP,AlexisFonteyne
25,Deputado Alex Manente,CIDADANIA,SP,AlexManente23
26,Deputado Alex Santana,PDT,BA,depalexsantana
27,Deputada Alice Portugal,PCdoB,BA,Alice_Portugal
28,Deputado Aliel Machado,PSB,PR,alielmachado
29,Deputada Aline Gurgel,REPUBLICANOS,AP,dep_alinegurgel
30,Deputada Aline Sleutjes,PSL,PR,AlineSleutjes
31,Deputado Altineu Côrtes,PL,RJ,Altineu
32,Deputado Aluisio Mendes,PSC,MA,AluisioMendesMA
33,Deputado Amaro Neto,REPUBLICANOS,ES,amaronetotv
34,Deputado André Abdon,PP,AP,no-twitter
35,Deputado André De Paula,PSD,PE,no-twitter
36,Deputado André Ferreira,PSC,PE,aferreira2020
37,Deputado André Figueiredo,PDT,CE,andrepdt12
38,Deputado André Fufuca,PP,MA,DepAndreFufuca
39,Deputado André Janones,AVANTE,MG,AndreJanonesAdv
40,Deputada Angela Amin,PP,SC,angelaamin11
41,Deputado Antonio Brito,PSD,BA,no-twitter
42,Deputado Arlindo Chinaglia,PT,SP,achinaglia
43,Deputado Arnaldo Jardim,CIDADANIA,SP,ArnaldoJardim
44,Deputado Aroldo Martins,REPUBLICANOS,PR,aroldomartins
45,Deputado Arthur Lira,PP,AL,ArthurLira_
46,Deputado Arthur Oliveira Maia,DEM,BA,DepArthurMaia
47,Deputado Átila Lins,PP,AM,no-twitter
48,Deputado Átila Lira,PP,PI,deputadoatila
